Arm,Reward,Algorithm
0,0,Epsilon-Greedy
1,1,Epsilon-Greedy
2,0,Epsilon-Greedy
3,0,Epsilon-Greedy
4,1,Epsilon-Greedy
5,0,Epsilon-Greedy
6,0,Epsilon-Greedy
7,0,Epsilon-Greedy
8,0,Epsilon-Greedy
9,1,Epsilon-Greedy
10,0,Epsilon-Greedy
11,0,Epsilon-Greedy
12,1,Epsilon-Greedy
13,0,Epsilon-Greedy
14,1,Epsilon-Greedy
15,0,Epsilon-Greedy
16,0,Epsilon-Greedy
17,0,Epsilon-Greedy
18,1,Epsilon-Greedy
19,1,Epsilon-Greedy
20,0,Epsilon-Greedy
21,1,Epsilon-Greedy
22,0,Epsilon-Greedy
23,0,Epsilon-Greedy
24,1,Epsilon-Greedy
25,1,Epsilon-Greedy
26,0,Epsilon-Greedy
27,1,Epsilon-Greedy
28,1,Epsilon-Greedy
29,1,Epsilon-Greedy
30,1,Epsilon-Greedy
31,0,Epsilon-Greedy
32,0,Epsilon-Greedy
33,1,Epsilon-Greedy
34,0,Epsilon-Greedy
35,1,Epsilon-Greedy
36,0,Epsilon-Greedy
37,1,Epsilon-Greedy
38,0,Epsilon-Greedy
39,1,Epsilon-Greedy
40,1,Epsilon-Greedy
41,1,Epsilon-Greedy
42,1,Epsilon-Greedy
43,0,Epsilon-Greedy
44,1,Epsilon-Greedy
45,1,Epsilon-Greedy
46,0,Epsilon-Greedy
47,1,Epsilon-Greedy
48,0,Epsilon-Greedy
49,0,Epsilon-Greedy
50,1,Epsilon-Greedy
51,0,Epsilon-Greedy
52,0,Epsilon-Greedy
53,0,Epsilon-Greedy
54,0,Epsilon-Greedy
55,1,Epsilon-Greedy
56,0,Epsilon-Greedy
57,0,Epsilon-Greedy
58,1,Epsilon-Greedy
59,1,Epsilon-Greedy
60,0,Epsilon-Greedy
61,1,Epsilon-Greedy
62,1,Epsilon-Greedy
63,1,Epsilon-Greedy
64,1,Epsilon-Greedy
65,1,Epsilon-Greedy
66,1,Epsilon-Greedy
67,1,Epsilon-Greedy
68,1,Epsilon-Greedy
69,1,Epsilon-Greedy
70,1,Epsilon-Greedy
71,1,Epsilon-Greedy
72,1,Epsilon-Greedy
73,0,Epsilon-Greedy
74,1,Epsilon-Greedy
75,1,Epsilon-Greedy
76,0,Epsilon-Greedy
77,0,Epsilon-Greedy
78,1,Epsilon-Greedy
79,0,Epsilon-Greedy
80,0,Epsilon-Greedy
81,0,Epsilon-Greedy
82,1,Epsilon-Greedy
83,1,Epsilon-Greedy
84,1,Epsilon-Greedy
85,1,Epsilon-Greedy
86,0,Epsilon-Greedy
87,1,Epsilon-Greedy
