Arm,Reward,Algorithm
0,0,Thompson Sampling
1,0,Thompson Sampling
2,0,Thompson Sampling
3,1,Thompson Sampling
4,0,Thompson Sampling
5,1,Thompson Sampling
6,0,Thompson Sampling
7,1,Thompson Sampling
8,1,Thompson Sampling
9,1,Thompson Sampling
10,1,Thompson Sampling
11,1,Thompson Sampling
12,1,Thompson Sampling
13,1,Thompson Sampling
14,1,Thompson Sampling
15,0,Thompson Sampling
16,0,Thompson Sampling
17,1,Thompson Sampling
18,1,Thompson Sampling
19,1,Thompson Sampling
20,1,Thompson Sampling
21,1,Thompson Sampling
22,1,Thompson Sampling
23,1,Thompson Sampling
24,0,Thompson Sampling
25,0,Thompson Sampling
26,1,Thompson Sampling
27,1,Thompson Sampling
28,0,Thompson Sampling
29,0,Thompson Sampling
30,0,Thompson Sampling
31,1,Thompson Sampling
32,1,Thompson Sampling
33,1,Thompson Sampling
34,1,Thompson Sampling
35,1,Thompson Sampling
36,1,Thompson Sampling
37,1,Thompson Sampling
38,0,Thompson Sampling
39,1,Thompson Sampling
40,1,Thompson Sampling
41,1,Thompson Sampling
42,0,Thompson Sampling
43,0,Thompson Sampling
44,0,Thompson Sampling
45,1,Thompson Sampling
46,1,Thompson Sampling
47,1,Thompson Sampling
48,1,Thompson Sampling
49,0,Thompson Sampling
50,1,Thompson Sampling
51,1,Thompson Sampling
52,1,Thompson Sampling
53,1,Thompson Sampling
54,1,Thompson Sampling
55,1,Thompson Sampling
56,1,Thompson Sampling
57,1,Thompson Sampling
58,0,Thompson Sampling
59,1,Thompson Sampling
60,0,Thompson Sampling
61,0,Thompson Sampling
62,0,Thompson Sampling
63,1,Thompson Sampling
64,1,Thompson Sampling
65,1,Thompson Sampling
66,1,Thompson Sampling
67,1,Thompson Sampling
68,1,Thompson Sampling
69,1,Thompson Sampling
70,1,Thompson Sampling
71,1,Thompson Sampling
72,1,Thompson Sampling
73,1,Thompson Sampling
74,1,Thompson Sampling
75,1,Thompson Sampling
76,0,Thompson Sampling
77,1,Thompson Sampling
78,1,Thompson Sampling
79,1,Thompson Sampling
80,1,Thompson Sampling
81,1,Thompson Sampling
82,0,Thompson Sampling
83,1,Thompson Sampling
84,1,Thompson Sampling
85,1,Thompson Sampling
86,1,Thompson Sampling
87,1,Thompson Sampling
88,1,Thompson Sampling
89,1,Thompson Sampling
90,1,Thompson Sampling
91,0,Thompson Sampling
92,1,Thompson Sampling
93,1,Thompson Sampling
94,0,Thompson Sampling
95,0,Thompson Sampling
96,1,Thompson Sampling
97,1,Thompson Sampling
98,1,Thompson Sampling
99,1,Thompson Sampling
100,1,Thompson Sampling
101,1,Thompson Sampling
102,1,Thompson Sampling
103,1,Thompson Sampling
104,1,Thompson Sampling
105,1,Thompson Sampling
106,1,Thompson Sampling
107,0,Thompson Sampling
108,0,Thompson Sampling
109,1,Thompson Sampling
110,1,Thompson Sampling
111,0,Thompson Sampling
112,1,Thompson Sampling
113,1,Thompson Sampling
114,1,Thompson Sampling
115,1,Thompson Sampling
116,1,Thompson Sampling
117,1,Thompson Sampling
118,1,Thompson Sampling
119,1,Thompson Sampling
120,1,Thompson Sampling
121,1,Thompson Sampling
122,1,Thompson Sampling
123,0,Thompson Sampling
124,1,Thompson Sampling
125,1,Thompson Sampling
126,0,Thompson Sampling
127,1,Thompson Sampling
128,0,Thompson Sampling
129,1,Thompson Sampling
130,1,Thompson Sampling
131,1,Thompson Sampling
132,1,Thompson Sampling
133,1,Thompson Sampling
134,1,Thompson Sampling
135,1,Thompson Sampling
136,1,Thompson Sampling
137,1,Thompson Sampling
138,1,Thompson Sampling
139,1,Thompson Sampling
140,1,Thompson Sampling
141,1,Thompson Sampling
142,1,Thompson Sampling
143,1,Thompson Sampling
144,1,Thompson Sampling
145,1,Thompson Sampling
146,0,Thompson Sampling
147,0,Thompson Sampling
148,1,Thompson Sampling
149,1,Thompson Sampling
150,1,Thompson Sampling
151,1,Thompson Sampling
152,1,Thompson Sampling
153,1,Thompson Sampling
154,0,Thompson Sampling
155,1,Thompson Sampling
156,1,Thompson Sampling
157,1,Thompson Sampling
158,1,Thompson Sampling
159,1,Thompson Sampling
160,1,Thompson Sampling
161,1,Thompson Sampling
162,1,Thompson Sampling
163,1,Thompson Sampling
164,1,Thompson Sampling
165,1,Thompson Sampling
166,1,Thompson Sampling
167,1,Thompson Sampling
168,1,Thompson Sampling
169,1,Thompson Sampling
170,0,Thompson Sampling
171,0,Thompson Sampling
172,1,Thompson Sampling
173,1,Thompson Sampling
174,1,Thompson Sampling
175,1,Thompson Sampling
176,1,Thompson Sampling
177,1,Thompson Sampling
178,0,Thompson Sampling
179,1,Thompson Sampling
180,1,Thompson Sampling
181,1,Thompson Sampling
182,1,Thompson Sampling
183,1,Thompson Sampling
184,1,Thompson Sampling
185,0,Thompson Sampling
186,1,Thompson Sampling
187,0,Thompson Sampling
188,1,Thompson Sampling
189,1,Thompson Sampling
190,1,Thompson Sampling
191,1,Thompson Sampling
192,1,Thompson Sampling
193,1,Thompson Sampling
194,1,Thompson Sampling
